Data Series Singapore,Total Population1,Resident Population,Non-Resident Population,Data Series China,Total Population2,GDP of China,graduates from universities,65,14
2021,5453566,3986842,1466724,1960,667070000,89,13.7,24604942,265641893
2020,5685807,4044210,1641597,1961,660330000,75,15.1,24506581,263302831
2019,5703569,4026209,1677360,1962,665770000,70,17.8,24462536,268188604
2018,5638676,3994283,1644393,1963,682335000,74,20.1,24558486,278443818
2017,5612253,3965796,1646457,1964,698355000,85,20.5,24528808,287297670
2016,5607283,3933559,1673724,1965,715185000,98,18.8,24486185,294501997
2015,5535002,3902690,1632312,1966,735400000,104,14.2,25674798,304216738
2014,5469724,3870739,1598985,1967,754550000,96,12.6,26904327,310976161
2013,5399162,3844751,1554411,1968,774510000,91,15.1,28182576,316601067
2012,5312437,3818205,1494232,1969,796025000,100,15.1,29454226,323033758
2011,5183688,3789251,1394437,1970,818315000,113,10.3,30670664,330658357
2010,5076732,3771721,1305011,1971,841105000,118,0.6,32098200,340015460
2009,4987573,3733876,1253697,1972,862030000,131,1.7,33453776,348297760
2008,4839396,3642659,1196737,1973,881940000,157,3,34782914,355789052
2007,4588599,3583082,1005517,1974,900350000,160,4.3,36108504,361683794
2006,4401365,3525894,875471,1975,916395000,178,11.9,37429714,365103747
2005,4265762,3467814,797948,1976,930685000,165,14.9,39059632,365617362
2004,4166664,3413266,753398,1977,943455000,185,19.4,40679629,364299712
2003,4114826,3366891,747935,1978,956165000,156,16.5,42360214,361610403
2002,4175950,3382944,793006,1979,969005000,183,8.5,44104813,357715831
2001,4138012,3325902,812110,1980,981235000,194,14.7,45866191,352611901
2000,4027887,3273363,754524,1981,993885000,197,15.2,47957992,345762315
1999,3958723,3229681,729042,1982,1008630000,203,46.1,50089615,339804660
1998,3927213,3180018,747195,1983,1023310000,225,33.9,52150310,333897749
1997,3796038,3123403,672635,1984,1036825000,250,29,54037922,327940857
1996,3670704,3068132,602572,1985,1051040000,294,33.3,55809578,323050142
1995,3524506,3013515,510991,1986,1066790000,281,41,57513608,321493844
1994,3419048,2959350,459698,1987,1084035000,251,56,59097827,321547481
1993,3313471,2904547,408924,1988,1101630000,283,59.4,60605526,322714350
1992,3230698,2849754,380944,1989,1118650000,310,61.3,62163844,323955099
1991,3135083,2794704,340379,1990,1135185000,317,64.9,63912757,324546177
1990,3047132,2735868,311264,1991,1150780000,333,64.7,65520712,328581656
1989,2930901,2647627,283274,1992,1164970000,366,63,67420802,328596758
1988,2846108,2598458,247650,1993,1178440000,377,59.9,69533392,326580984
1987,2774789,2553864,220925,1994,1191835000,473,66.5,71694024,325280651
1986,2733373,2518598,214775,1995,1204855000,609,83.7,73788987,325698399
1985,2735957,2482615,253342,1996,1217550000,709,87.9,76621226,320435561
1984,2732221,2443705,288516,1997,1230075000,781,87.6,79101030,319849182
1983,2681061,2406165,274896,1998,1241935000,828,87.7,81359560,320906193
1982,2646466,2365707,280759,1999,1252735000,873,90.3,83624513,319203340
1981,2532835,2324403,208432,2000,1262645000,959,100.9,86009518,312993544
1980,2413945,2282125,131820,2001,1271850000,1053,110.4,88263699,307972185
1979,2383500,,,2002,1280400000,1148,141.8,90680607,298071840
1978,2353600,,,2003,1288400000,1288,198.8,93162743,285390312
1977,2325300,,,2004,1296075000,1508,254.2,95478238,273788404
1976,2293300,,,2005,1303720000,1753,325.8,97550467,265351992
1975,2262600,,,2006,1311020000,2099,403.1,99711068,258543763
1974,2229800,,,2007,1317885000,2693,479,101646383,254375415
1973,2193000,,,2008,1324655000,3468,546.4,103531377,252408571
1972,2152400,,,2009,1331260000,3832,568.2,105598689,251102769
1971,2112900,,,2010,1337705000,4550,613.8,108012365,249615182
1970,2074507,,,2011,1345035000,5614,651.2,111088511,248963911
1969,2042500,,,2012,1354190000,6300,673.3,114473856,248760149
1968,2012000,,,2013,1363240000,7020,690.1,118315346,248656195
1967,1977600,,,2014,1371860000,7636,713,123006419,248778057
1966,1934400,,,2015,1379860000,8016,736.1,128766192,249117662
1965,1886900,,,2016,1387790000,8094,760.6,136039935,249727483
1964,1841600,,,2017,1396215000,8816,793.6,144440124,250444126
1963,1795000,,,2018,1402760000,9905,813.7,153193786,250771444
1962,1750200,,,2019,1407745000,10143,822.5,161499224,250642076
1961,1702400,,,2020,1411100000,10434,870.1,168884275,249931427
1960,1646400,,,2021,1412360000,12551.5,903.8,175318996,248510399
1959,1587200,,,,,,,,
1958,1518800,,,,,,,,
1957,1445929,,,,,,,,
1956,1371600,,,,,,,,
1955,1305500,,,,,,,,
1954,1248200,,,,,,,,
1953,1191800,,,,,,,,
1952,1127000,,,,,,,,
1951,1068100,,,,,,,,
1950,1022100,,,,,,,,
